id,source,hotel_name_from_roomlist,city_from_roomlist,address_from_roomlist,room_name,room_size,number_of_people_min,number_of_people_max,price_per_day,description,info_link,img_link,placeUUID,distance,placeName
,venuu,Högsbo Meeting Point,Västra Frölunda,"E A Rosengrensgata 17, 421 31 Västra Frölunda",Konferenslokal 20,,,6,,"Konferens 20 är för det mindre mötet. från 2- 6 personerHalvdag 08.00 - 12.00 eller 13.00 - 17.00Paketpris: Förmiddagsfika/eftermiddagsfika, frukt och lunch 385:-/per person",https://venuu.se/lokaler/hogsbo-meeting-point-konferenslokal-20,https://files.venuu.se/attachments/000/188/313/a66b01e89f04c29470ffcc4170a3908ab41db72f.jpg,c748bced-4201-40f9-a0ed-802236bd5ea5,0.7718990627253064,"Kontorshotel Kyrkogatan Gothenburg Kyrkogatan 30, 411 15 Göteborg, Sweden"
,venuu,Efes Restraung,ÅRE,"Björnänge 827 , 837 52 ÅRE",,,,60,,"Restaurang Efes hittar ni på Björnänge i hjärtat av Åre.Kryp i våran Restaurang som har utsikt mot Åresjön, lokalen rymmer 90 platser. Vi kan erbjuda plats avskilt för upp till 35 personer och ni kan ta över hela restaurangen om ni är 40 personer och upp.Lokalen har en komplett bar med fullständiga rättigheter samt kök. Det betyder att vi bara erbjuder kompletta middagar med både mat & dryck. Vi får lov att ha öppet till 01.00 sen får ni ta er vidare.I samband med ert evenemang så hjälper vi mer än gärna till med underhållning och allt annat som behövs.",https://venuu.se/lokaler/efes-restraung,https://files.venuu.se/attachments/000/197/516/046725b46e68ae8764823972712c2c0dcf5421f6.jpg,c748bced-4201-40f9-a0ed-802236bd5ea5,0.7718990627253064,"Kontorshotel Kyrkogatan Gothenburg Kyrkogatan 30, 411 15 Göteborg, Sweden"
,venuu,Lerbäcksgården,Göteborg,"Lerbäckgården 3, 422 50 Göteborg",,,,20,5000,"Strax utanför Göteborg hittar ni denna charmiga, genuina och nyrenoverade konferens och möteslokal, en plats för hel eller halvdagars företagsevent. Lokalen rymmer max 20 sittande gäster och finns att hyra alla vardagar mellan 08-18. Lerbäcksgården består av ett charmigt 40-tals hus som är nyrenoverat med bra belysning och utrusning. Ett större rum med 6 konferensbord och stolar för 20 sittande, två mysiga sittplatser samt ett mindre kök och toalett. I priset ingår även tillgång till ""biosalongen"", ett rum med biosittplatser, med projector och duk, för presentationer eller liknande visningar. Egen mat och dryck är tillåtet. Vi hjälper gärna till att beställa catering från områdets lokala cateringfirma. Vi rekommenderar er även att promenera till Albatross golfklubb, endast 5 minuters promenad från lokalen som serverar goda luncher. Utöver det hjälper vi gärna att fixa kaffe och fika (inte inkluderat i priset) vid intresse. Vill ni komma iväg från stadspulsen för mindre företagsevent och konferenser, kontakta oss! Lerbäcksgården är en lugn och fridfull lokal vid naturen bara ett stenkast från Göteborg.",https://venuu.se/lokaler/lerbacksgarden,https://files.venuu.se/attachments/000/183/489/c56723aa4faa05cfc042dbf23b50637af6a0bcdc.jpg,c748bced-4201-40f9-a0ed-802236bd5ea5,0.7718990627253064,"Kontorshotel Kyrkogatan Gothenburg Kyrkogatan 30, 411 15 Göteborg, Sweden"
,venuu,Best Western Kom Hotel,Stockholm,"Döbelnsg. 17 , 111 40 Stockholm",Sergel,,,18,7600,"Sergel är en lokal för det mindre mötet. Det ligger undanskymt i vårt konferenscenter, med egen lounge i anslutning till rummet. Panoramafönster i vinkel mot Döbelnsgatan resp. Kammakargatan ger optimalt ljusinsläpp och avkopplad miljö. Lokalen är miljövänlig och Svanen-märkt.Sergel har sitt namn efter skulptören Johan Tobias Sergel (1740-1814), som hade sin ateljé på nummer 1. I sin tidigare skepnad gick Sergel- gatan söderut endast till Mäster Samuelsgatan, men går nu fram, över Sergels gamla ateljé, till Sergels Torg.",https://venuu.se/lokaler/best-western-kom-hotel-sergel,https://files.venuu.se/attachments/000/023/221/6f1bfc8d24c307e6a4c14c992066e9758dd0f802.jpg,926e22b6-47b7-4f96-b2be-ed458eecb211,0.876723484848485,"Best Western Time Hotel Stockholm Vanadisvägen 12, 113 46 Stockholm, Sweden"
,venuu,Westmanska Palatset,Stockholm,"Holländargatan 17, 11160 Stockholm",Bellman,,,14,3900,"Välkommen till Westmanska Palatset!Letar du efter prisvärda lokaler med utmärkt läge i centrala Stockholm? Westmanska Palatset erbjuder moderna mötes-, konferens- och festlokaler i en historisk miljö för alla typer av event.Bellman är värt mest unika mötesrum med plats för 14 personer runt träbordet. Rummet har en varm och mysig atmosfär och är perfekt för ert nästa styrelsemöte eller gruppmiddag. Bellman även inhyser vår fina vinkällare. Rummet är utrustade med den senaste mötestekniken.Vår egen restaurang under samma tak erbjuder dig och dina gäster allt från fika till affärsluncher och trerättersmiddagar. Vår dedikerade servicepersonal finns här för att era konferenser ska bli så lyckade som möjligt. Med vårt motto Service by Heart är vi med och hjälper er hela vägen, från början till slut.Kontakta oss så hjälper vi till att skräddarsy en lösning efter ert behov och önskemål!",https://venuu.se/lokaler/westmanska-palatset-bellman,https://files.venuu.se/attachments/000/178/474/000a7694866a77f949cdb31695dc1ed16a26fde8.jpg,926e22b6-47b7-4f96-b2be-ed458eecb211,0.876723484848485,"Best Western Time Hotel Stockholm Vanadisvägen 12, 113 46 Stockholm, Sweden"
,venuu,Noors Slott,Knivsta,"Ledingevägen 93, 741 44 Knivsta",Carolina,,,20,4500,"Konferenslokalen Carolina har en personlig charm och ligger i ena flygeln intill slottet. I Carolina flygeln finns 11 logi rum och 1 konferenslokal, så är ni kring det antalet är ni till största delen själva där. I lokalen finns tillgång till dataprojektor, högtalare, fri tillgång till trådlöst internet, blädderblock, whiteboard och OH.Sånt som mineralvatten, frukt och godis ingår när ni bokar konferens hos oss. Lokalens mått är 6 x 4m + biyta med fåtöljer och bord. En konferens hos oss innebär kvalitetstid. Varje grupp som gästar hos oss arbetar i en egen byggnad, äter luncher och middagar i egen matsal och styr över sin tid. Det ger en perfekt grund för ostörda diskussioner, kreativt arbete och välgrundade beslut.",https://venuu.se/lokaler/noors-slott-carolina,https://files.venuu.se/attachments/000/053/893/13908faf9c2d937d8b1efe9e4557871d1b7f0157.jpg,926e22b6-47b7-4f96-b2be-ed458eecb211,0.876723484848485,"Best Western Time Hotel Stockholm Vanadisvägen 12, 113 46 Stockholm, Sweden"
,venuu,Klara Stockholm,Stockholm,"Klarabergsviadukten 90, 111 64 Stockholm",Dagerman,,,42,,DAGERMANVår kanske allra ljusaste lokal som har tillgång till härlig lounge. En flexibel lokal. Mycket bra de där pauserna när allt bara faller på plats och löser sig. Allt känns ombonat (förmodligen p.g.a. burspråket) men samtidigt effektivt på något sätt.Med två anläggningar och 25 rum i varierande storlek har vi alltid något för dig. Den senaste tekniken och alla tänkbara hjälpmedel väntar på er. Både Tändstickspalatset och Klara Strand har en vacker matsal där det serveras en perfekt avvägd affärslunch varje dag.Välkomna till Kapitel 8 och Klara Strand!,https://venuu.se/lokaler/klara-stockholm-dagerman,https://files.venuu.se/attachments/000/016/532/365302bc053a8bcef713a1c60f2bb8e7ed361f3d.jpg,926e22b6-47b7-4f96-b2be-ed458eecb211,0.876723484848485,"Best Western Time Hotel Stockholm Vanadisvägen 12, 113 46 Stockholm, Sweden"
,venuu,Sjöfartshuset,Stockholm,"Skeppsbron 10, 111 30 Stockholm",Strömsalongen,,,146,7990,Vårt största mötesrum heter Strömsalongen och ligger på våning 3. Salongen bestod i gamla tider av tjänstefolksbostäder och husets historia sträcker sig så lång tillbaka som till 1600-talet. Det trivsamma rummet har anspråkslös takhöjd med flera fönster med djupa fönsternischer. Här kan man njuta av den vackra utsikten mot Stockholms ström och båtliv. I den nedre delen av salongen finns det soffgrupper att nyttja till grupparbete eller vid kaffepauser.KONFERENS SITTNING U-Bord max 28 pers. Skolsittning max 50 pers. Biosittning max 70 pers.Välkomna till Sjöfartshusets Festvåningar och Gamla stan i Stockholm!,https://venuu.se/lokaler/sjofartshuset-stromsalongen,https://files.venuu.se/attachments/000/058/381/5132ffeeb341f11553af14af964fcaec7fad90c1.jpg,926e22b6-47b7-4f96-b2be-ed458eecb211,0.876723484848485,"Best Western Time Hotel Stockholm Vanadisvägen 12, 113 46 Stockholm, Sweden"
,venuu,Ersta konferens & hotell,Stockholm,"Erstagatan 1K, 116 28 Stockholm",Clara Eckerströmsalen,,,50,7900,"Det finns många fördelar med Clara Eckerströmsalen som är en ljus lokal med stora fönster åt två håll. Dels ligger den på entréplan och man kan nå den utan att passera några trappor. Dels har den eget fikautrymme, nära till handikapptoalett, garderob och receptionen. Clara Eckerströmsalen har modern teknik med bland annat bakprojektion och automatiska mörkläggningsgardiner. Salen är en av våra mest populära lokaler.När stora diakonisshuset uppfördes användes utrymmet för Clara Eckerströmsalen samt lobbyn som storkök, skafferi och diskutrymme. Salen är uppkallad efter husmor Clara Eckerström som tillsammans med Ersta diakonis första direktor, Johan Christoffer Bring, ledde verksamheten i 35 år.",https://venuu.se/lokaler/ersta-konferens-hotell-clara-eckerstromsalen,https://files.venuu.se/attachments/000/076/492/242dc107ffcce9f2f0712f98fcce92b3ee93af35.jpg,926e22b6-47b7-4f96-b2be-ed458eecb211,0.876723484848485,"Best Western Time Hotel Stockholm Vanadisvägen 12, 113 46 Stockholm, Sweden"
,venuu,Ersta konferens & hotell,Stockholm,"Erstagatan 1K, 116 28 Stockholm",Bringsalen,,,120,15900,"Bringsalen är vår största lokal och med sina sju meter i takhöjd och stora fönster åt två håll även vår vackraste. I biosittning ryms det upp till 120 personer. Salen används flitigt för föreläsningar, konferenser men även vid speciella tillfällen som scenframträdanden. Salen är uppkallad efter Johan Christoffer Bring som var Ersta diakonis föreståndare från 1862 fram till sin bortgång 1898. Bringsalen, som då hette Bönsalen, fungerade som samlingsrum och bönerum för diakonissorna som bodde och verkade i området.Idag är Bringsalen moderniserad för konferenser med god teknisk utrustning, ljussättning och akustik. Samtidigt som många historiska detaljer är bevarade.Redan år 1902 flyttade en flygel in i salen. Under årens lopp har flyglarna bytts ut till modernare upplagor och idag, över hundra år senare, står en elflygel på exakt samma plats. Glasfönstret som är kvar sedan huset byggdes kom till tack vare att systrarna i huset samlade in bidrag och själva målade en förlaga som sedan en glasmästare skapade.",https://venuu.se/lokaler/ersta-konferens-hotell-bringsalen,https://files.venuu.se/attachments/000/076/480/5085ca9847faccf7a68e3a17ce1054cb7b2b9748.jpg,926e22b6-47b7-4f96-b2be-ed458eecb211,0.876723484848485,"Best Western Time Hotel Stockholm Vanadisvägen 12, 113 46 Stockholm, Sweden"
